,pearson,pearson_abs
registered,0.9455169158090359,0.9455169158090359
casual,0.6728044333386827,0.6728044333386827
atemp,0.6310656998491826,0.6310656998491826
instant,0.6288302722083061,0.6288302722083061
temp,0.6274940090334915,0.6274940090334915
yr,0.5667097078680866,0.5667097078680866
season,0.40610037079863526,0.40610037079863526
weathersit,-0.2973912388346633,0.2973912388346633
mnth,0.27997711221927024,0.27997711221927024
windspeed,-0.23454499742167037,0.23454499742167037
hum,-0.10065856213715477,0.10065856213715477
holiday,-0.068347715892484,0.068347715892484
weekday,0.06744341241063065,0.06744341241063065
workingday,0.061156063060521106,0.061156063060521106
