,pearson,pearson_abs
registered,0.9721507308642957,0.9721507308642957
casual,0.6945640779749468,0.6945640779749468
temp,0.4047722757786579,0.4047722757786579
atemp,0.40092930412663563,0.40092930412663563
hr,0.3940714977829419,0.3940714977829419
hum,-0.32291074082456006,0.32291074082456006
instant,0.27837869391745607,0.27837869391745607
yr,0.2504948988596486,0.2504948988596486
season,0.17805573098267666,0.17805573098267666
weathersit,-0.14242613813809568,0.14242613813809568
mnth,0.12063776021315144,0.12063776021315144
windspeed,0.09323378392612537,0.09323378392612537
holiday,-0.03092730324911062,0.03092730324911062
workingday,0.030284367747910726,0.030284367747910726
weekday,0.026899859990839558,0.026899859990839558
